# Time (s), X (m), Y (m), Z (m), Vx (m/s), Vy (m/s), Vz (m/s), e0, e1, e2, e3, ω1 (rad/s), ω2 (rad/s), ω3 (rad/s)
0.000000,0.000000,0.000000,668.000000,0.000000,0.000000,0.000000,0.889257,-0.028357,0.014551,-0.456297,0.000000,0.000000,0.000000
0.450000,-0.000000,-0.000000,668.000000,-0.000000,-0.000000,-0.000000,0.889257,-0.028357,0.014551,-0.456297,0.000000,-0.000000,0.000000
0.900000,0.056951,0.040883,669.098108,0.474091,0.340335,9.141311,0.889257,-0.028357,0.014551,-0.456297,-0.000000,0.000000,0.000000
1.350000,0.605593,0.430299,679.360875,2.165134,1.517820,39.030741,0.889274,-0.028515,0.013741,-0.456277,0.004266,-0.015224,0.000000
1.800000,2.098135,1.523880,706.426585,4.380213,3.436675,81.535521,0.889420,-0.030616,0.004954,-0.456038,0.014124,-0.064786,0.000000
2.250000,4.326456,3.536104,750.533520,5.255690,5.393613,110.168622,0.889462,-0.035510,-0.010521,-0.455506,0.004817,-0.055902,0.000000
2.700000,6.697564,6.219398,802.162832,5.254324,6.326537,116.487807,0.889384,-0.037756,-0.011922,-0.455444,-0.013452,0.030643,0.000000
3.150000,9.067703,9.096001,853.935011,5.305333,6.405757,113.299696,0.889357,-0.036652,-0.004893,-0.455715,-0.002766,0.009116,0.000000
3.600000,11.475989,11.963956,903.979913,5.381851,6.341843,109.012189,0.889349,-0.038181,-0.009358,-0.455535,0.005197,-0.040189,0.000000
4.050000,13.892865,14.811371,951.958291,5.346382,6.320183,104.154980,0.889267,-0.041236,-0.015872,-0.455248,-0.004112,-0.014811,0.000000
4.500000,16.287001,17.648689,997.660665,5.302634,6.276592,98.896291,0.889204,-0.042515,-0.014766,-0.455292,-0.008349,0.011147,0.000000
4.950000,18.674341,20.452017,1040.967605,5.314181,6.174724,93.572713,0.889161,-0.043223,-0.013162,-0.455358,-0.003206,-0.006141,0.000000
5.400000,21.070574,23.204941,1081.888882,5.332046,6.064197,88.317763,0.889089,-0.045302,-0.016542,-0.455187,-0.000686,-0.025655,0.000000
5.850000,23.468159,25.909046,1120.412657,5.320021,5.958889,82.916381,0.888960,-0.048294,-0.021375,-0.454931,-0.004018,-0.021349,0.000000
6.300000,25.857328,28.570819,1156.531615,5.299512,5.872265,77.631778,0.888816,-0.051023,-0.023711,-0.454797,-0.007754,-0.008898,0.000000
6.750000,28.239888,31.193664,1190.297993,5.292632,5.783534,72.458784,0.888682,-0.053376,-0.024172,-0.454765,-0.008534,-0.006540,0.000000
7.200000,30.622836,33.775104,1221.759877,5.299727,5.689150,67.388107,0.888527,-0.056017,-0.025328,-0.454687,-0.007657,-0.014322,0.000000
7.650000,33.010058,36.314295,1250.961121,5.309750,5.597315,62.409699,0.888315,-0.059457,-0.028380,-0.454484,-0.007495,-0.023365,0.000000
8.100000,35.400907,38.814083,1277.940977,5.315292,5.514597,57.513756,0.888023,-0.063748,-0.032781,-0.454177,-0.008945,-0.028108,0.000000
8.550000,37.793126,41.278876,1302.734658,5.316274,5.441429,52.692207,0.887644,-0.068718,-0.037483,-0.453830,-0.011541,-0.028969,0.000000
9.000000,40.185298,43.712360,1325.374049,5.315379,5.374916,47.937974,0.887176,-0.074271,-0.041924,-0.453482,-0.014586,-0.028903,0.000000
9.450000,42.576756,46.116913,1345.887962,5.313273,5.312469,43.244561,0.886600,-0.080524,-0.046053,-0.453139,-0.018484,-0.029528,0.000000
