# Time (s), X (m), Y (m), Z (m), Vx (m/s), Vy (m/s), Vz (m/s), e0, e1, e2, e3, ω1 (rad/s), ω2 (rad/s), ω3 (rad/s)
0.000000,0.000000,0.000000,668.000000,0.000000,0.000000,0.000000,0.896908,-0.037782,0.018544,-0.440209,0.000000,0.000000,0.000000
0.450000,0.000000,0.000000,668.000000,0.000000,0.000000,0.000000,0.896908,-0.037782,0.018544,-0.440209,0.000000,-0.000000,0.000000
0.900000,0.023054,0.017828,668.345308,0.256500,0.198358,3.841881,0.896908,-0.037782,0.018544,-0.440209,-0.000000,0.000000,0.000000
1.350000,0.431746,0.333239,674.423986,1.757518,1.344400,25.355257,0.896911,-0.037832,0.018431,-0.440205,0.000198,-0.005766,0.000000
1.800000,1.770106,1.364131,693.066726,4.279143,3.406693,59.581529,0.897007,-0.040658,0.012784,-0.439956,-0.001827,-0.055561,0.000000
2.250000,4.216536,3.544823,728.436582,6.348236,6.361230,95.687967,0.897028,-0.049901,-0.002708,-0.439139,-0.012288,-0.089736,0.000000
2.700000,7.275210,7.062627,776.812624,7.064613,8.985652,115.414656,0.896769,-0.057756,-0.011388,-0.438567,-0.012355,0.006371,0.000000
3.150000,10.514885,11.371225,829.916018,7.307613,9.884475,118.577969,0.896763,-0.055167,-0.003490,-0.439046,0.000698,0.032992,0.000000
3.600000,13.831856,15.820557,882.536806,7.417640,9.869074,115.069699,0.896739,-0.056378,-0.005439,-0.438920,-0.005648,-0.046509,0.000000
4.050000,17.168942,20.262651,933.359990,7.395294,9.886988,110.708959,0.896522,-0.062439,-0.012842,-0.438390,-0.011341,-0.018986,0.000000
4.500000,20.485380,24.716448,982.114016,7.353036,9.886161,105.906348,0.896411,-0.063673,-0.010916,-0.438491,-0.005618,0.017097,0.000000
4.950000,23.794747,29.140786,1028.637901,7.357616,9.761712,100.819496,0.896352,-0.064281,-0.009748,-0.438551,-0.005493,-0.015742,0.000000
5.400000,27.102753,33.496827,1072.805987,7.338608,9.608827,95.503721,0.896152,-0.068719,-0.014660,-0.438149,-0.010701,-0.032517,0.000000
5.850000,30.394914,37.795585,1114.593843,7.292001,9.501062,90.229454,0.895877,-0.073376,-0.018183,-0.437824,-0.011914,-0.011616,0.000000
6.300000,33.667781,42.048047,1154.028372,7.257850,9.392804,85.035327,0.895673,-0.076033,-0.017941,-0.437798,-0.010369,-0.001538,0.000000
6.750000,36.929269,46.241087,1191.109511,7.239825,9.241312,79.788322,0.895462,-0.078842,-0.018345,-0.437716,-0.011119,-0.014888,0.000000
7.200000,40.183898,50.366015,1225.853452,7.224092,9.094712,74.645384,0.895131,-0.083584,-0.021604,-0.437364,-0.014309,-0.027854,0.000000
7.650000,43.429721,54.429710,1258.304079,7.200717,8.969836,69.594214,0.894667,-0.089616,-0.025817,-0.436890,-0.017386,-0.027584,0.000000
8.100000,46.664267,58.441328,1288.500940,7.175502,8.861181,64.627604,0.894131,-0.095737,-0.028936,-0.436494,-0.019373,-0.021470,0.000000
8.550000,49.888538,62.405410,1316.480650,7.155779,8.757074,59.739216,0.893547,-0.101762,-0.030965,-0.436187,-0.021133,-0.019638,0.000000
9.000000,53.105120,66.322896,1342.276965,7.140467,8.654422,54.922382,0.892863,-0.108360,-0.033005,-0.435850,-0.024223,-0.023161,0.000000
9.450000,56.315273,70.194872,1365.920532,7.127112,8.555104,50.170334,0.891993,-0.116231,-0.035644,-0.435395,-0.028939,-0.029215,0.000000
9.900000,59.519663,74.023320,1387.438969,7.114723,8.461281,45.476356,0.890856,-0.125782,-0.039072,-0.434775,-0.034623,-0.035940,0.000000
10.350000,62.718590,77.811011,1406.857031,7.102788,8.373981,40.834285,0.889376,-0.137175,-0.043243,-0.433963,-0.040961,-0.042518,0.000000
10.800000,65.912230,81.560813,1424.196777,7.091237,8.292722,36.238570,0.887466,-0.150532,-0.048070,-0.432937,-0.048114,-0.049235,0.000000
11.250000,69.100776,85.275181,1439.477944,7.080167,8.216253,31.684219,0.885001,-0.166088,-0.053551,-0.431648,-0.056525,-0.056877,0.000000
11.700000,72.284463,88.955966,1452.718087,7.069653,8.143274,27.166626,0.881797,-0.184252,-0.059795,-0.430012,-0.066700,-0.066237,0.000000
12.150000,75.463545,92.604510,1463.932791,7.059680,8.072846,22.681594,0.877583,-0.205576,-0.067002,-0.427899,-0.079087,-0.077886,0.000000
12.600000,78.638247,96.221819,1473.135788,7.050174,8.004386,18.225048,0.871987,-0.230708,-0.075410,-0.425119,-0.094026,-0.092179,0.000000
13.050000,81.808759,99.808705,1480.339023,7.041044,7.937596,13.793109,0.864499,-0.260333,-0.085268,-0.421423,-0.111735,-0.109292,0.000000
13.500000,84.975227,103.365855,1485.552768,7.032184,7.872177,9.382336,0.854448,-0.295114,-0.096812,-0.416478,-0.132357,-0.129311,0.000000
13.950000,88.137735,106.893700,1488.785944,7.023389,7.806985,4.990402,0.840952,-0.335660,-0.110250,-0.409852,-0.156253,-0.152542,0.000000
14.400000,91.296207,110.391624,1490.047383,7.014107,7.738209,0.618575,0.822795,-0.382647,-0.125808,-0.400953,-0.184985,-0.180475,0.000000
14.850000,94.450202,113.856419,1489.346612,7.003297,7.658348,-3.723171,0.798064,-0.437252,-0.143871,-0.388851,-0.222955,-0.217365,0.000000
15.300000,97.598817,117.281567,1486.703255,6.990551,7.564637,-8.026967,0.763134,-0.501999,-0.165265,-0.371783,-0.278031,-0.270827,0.000000
15.750000,100.741076,120.660170,1482.146146,6.976529,7.462436,-12.254553,0.712288,-0.579502,-0.190838,-0.346975,-0.356731,-0.347150,0.000000
16.200000,103.849575,123.792882,1476.509987,6.842069,6.483976,-12.781361,0.712188,-0.579642,-0.190885,-0.346926,-0.356881,-0.347296,0.000000
16.650000,106.900430,126.507520,1470.646563,6.719350,5.597144,-13.272967,0.712184,-0.579649,-0.190887,-0.346924,-0.356887,-0.347302,0.000000
17.100000,109.898434,128.841677,1464.569178,6.606723,4.789588,-13.732251,0.712185,-0.579647,-0.190886,-0.346924,-0.356886,-0.347301,0.000000
17.550000,112.847757,130.828262,1458.292570,6.502815,4.051055,-14.158104,0.712185,-0.579647,-0.190886,-0.346924,-0.356886,-0.347301,0.000000
18.000000,115.752106,132.496717,1451.831975,6.406521,3.373266,-14.549745,0.712185,-0.579647,-0.190886,-0.346924,-0.356886,-0.347301,0.000000
18.450000,118.614686,133.872703,1445.202785,6.317011,2.750000,-14.907383,0.712185,-0.579647,-0.190886,-0.346924,-0.356886,-0.347301,0.000000
18.900000,121.438373,134.979428,1438.420207,6.233616,2.176206,-15.231810,0.712185,-0.579647,-0.190886,-0.346924,-0.356886,-0.347301,0.000000
19.350000,124.225784,135.838144,1431.498949,6.155779,1.647637,-15.524313,0.712185,-0.579647,-0.190886,-0.346924,-0.356886,-0.347301,0.000000
19.800000,126.979328,136.468481,1424.452941,6.083020,1.160613,-15.786495,0.712185,-0.579647,-0.190886,-0.346924,-0.356886,-0.347301,0.000000
20.250000,129.701200,136.888438,1417.295392,6.014928,0.711949,-16.020249,0.712185,-0.579647,-0.190886,-0.346924,-0.356886,-0.347301,0.000000
20.700000,132.393413,137.114586,1410.038666,5.951147,0.298831,-16.227647,0.712185,-0.579647,-0.190886,-0.346924,-0.356886,-0.347301,0.000000
