# Time (s), X (m), Y (m), Z (m), Vx (m/s), Vy (m/s), Vz (m/s), e0, e1, e2, e3, ω1 (rad/s), ω2 (rad/s), ω3 (rad/s)
0.000000,0.000000,0.000000,1471.466078,0.000000,0.000000,0.000000,0.999962,0.000000,-0.000000,-0.008727,0.000000,0.000000,0.000000
0.450000,-0.000403,0.000528,1477.788250,-0.009377,0.012296,33.664747,0.999962,0.000169,0.000131,-0.008727,0.008034,0.006351,0.000000
0.900000,0.008507,-0.011164,1502.550241,0.151307,-0.198452,76.851415,0.999902,0.008660,0.006725,-0.008726,0.068222,0.053963,0.000000
1.350000,0.315961,-0.412607,1547.246867,1.452688,-1.900876,121.826296,0.999494,0.024448,0.018376,-0.008734,0.041795,0.023887,0.000000
1.800000,1.391961,-1.860266,1612.121669,3.189018,-4.430400,166.264233,0.999605,0.022795,0.013876,-0.008823,-0.016008,-0.025076,0.000000
2.250000,3.099179,-4.334885,1696.570579,4.506297,-6.720024,208.582540,0.999393,0.029053,0.017060,-0.008832,0.017973,0.002935,0.000000
2.700000,5.448200,-7.942752,1799.339783,5.867647,-9.268435,247.671652,0.999338,0.031243,0.016395,-0.008885,0.031901,0.017121,0.000000
3.150000,8.393900,-12.715544,1918.969057,7.114952,-11.781400,281.478257,0.999220,0.034624,0.016759,-0.008927,0.023281,0.009171,0.000000
3.600000,11.683582,-18.199075,2047.202900,7.380960,-12.322924,284.649256,0.999100,0.037829,0.016950,-0.008973,0.005422,-0.007724,0.000000
4.050000,14.988870,-23.696896,2173.685006,7.281805,-12.036505,276.517553,0.999090,0.038854,0.015075,-0.009060,0.000691,-0.012218,0.000000
4.500000,18.234009,-29.019907,2295.971058,7.151761,-11.632501,267.072098,0.999068,0.040029,0.013289,-0.009146,0.002175,-0.010989,0.000000
4.950000,21.427224,-34.166801,2414.111896,7.048531,-11.250018,258.057638,0.999035,0.041348,0.011579,-0.009232,0.003886,-0.009629,0.000000
5.400000,24.579596,-39.145778,2528.274742,6.968314,-10.884481,249.387491,0.998993,0.042751,0.009880,-0.009318,0.004995,-0.008905,0.000000
5.850000,27.698175,-43.966256,2638.608054,6.895883,-10.545035,241.032922,0.998973,0.043380,0.009139,-0.009356,0.000079,-0.001797,0.000000
6.300000,30.788492,-48.637516,2745.248081,6.837176,-10.223769,232.970182,0.998953,0.043948,0.008493,-0.009389,0.000286,-0.000704,0.000000
6.750000,33.854698,-53.169499,2848.327490,6.788414,-9.924906,225.210283,0.998933,0.044524,0.007849,-0.009422,0.001484,-0.001043,0.000000
7.200000,36.900497,-57.572492,2947.979869,6.748219,-9.647742,217.733888,0.998912,0.045086,0.007249,-0.009453,0.002899,-0.002326,0.000000
7.650000,39.929182,-61.855746,3044.326179,6.714470,-9.390913,210.512371,0.998890,0.045652,0.006704,-0.009481,0.003460,-0.003241,0.000000
8.100000,42.943732,-66.027539,3137.475527,6.685033,-9.152816,203.521300,0.998864,0.046283,0.006162,-0.009510,0.002827,-0.002456,0.000000
8.550000,45.943930,-70.096557,3227.526259,6.652904,-8.933383,196.736676,0.998848,0.046584,0.006546,-0.009494,0.001311,0.001452,0.000000
9.000000,48.932065,-74.069576,3314.566466,6.624736,-8.728212,190.138307,0.998826,0.047040,0.006618,-0.009493,0.001288,0.002642,0.000000
9.450000,51.907670,-77.953676,3398.676387,6.600620,-8.536481,183.710891,0.998805,0.047446,0.006923,-0.009481,0.002494,0.000061,0.000000
9.900000,54.871597,-81.754829,3479.929851,6.573703,-8.359271,177.440682,0.998780,0.047904,0.007275,-0.009467,0.002025,0.001680,0.000000
10.350000,57.824577,-85.478576,3558.394401,6.549581,-8.193032,171.313392,0.998752,0.048470,0.007473,-0.009462,0.002468,0.001509,0.000000
10.800000,60.766429,-89.130197,3634.131638,6.526318,-8.037791,165.317693,0.998722,0.049028,0.007860,-0.009447,0.002849,0.001076,0.000000
11.250000,63.698110,-92.714162,3707.198636,6.502947,-7.892792,159.444140,0.998686,0.049705,0.008124,-0.009439,0.002897,0.001909,0.000000
11.700000,66.620950,-96.234451,3777.648416,6.494868,-7.751567,153.684370,0.998641,0.050620,0.007965,-0.009454,0.007816,-0.009366,0.000000
12.150000,69.542527,-99.692255,3845.530329,6.483171,-7.620513,148.029752,0.998553,0.052637,0.005264,-0.009606,0.007030,-0.006429,0.000000
12.600000,72.457493,-103.093511,3910.889946,6.478612,-7.495027,142.473417,0.998482,0.054047,0.004295,-0.009664,0.008060,-0.008011,0.000000
13.050000,75.373843,-106.438703,3973.770142,6.479602,-7.375027,137.008714,0.998373,0.056137,0.001870,-0.009803,0.008956,-0.009013,0.000000
13.500000,78.289037,-109.732160,4034.210585,6.480122,-7.262439,131.629363,0.998271,0.057934,0.000445,-0.009886,0.008424,-0.006536,0.000000
13.950000,81.207690,-112.975234,4092.248605,6.490857,-7.152609,126.330201,0.998139,0.060129,-0.001687,-0.010009,0.010661,-0.010648,0.000000
14.400000,84.129911,-116.170790,4147.918896,6.497344,-7.050662,121.105345,0.997992,0.062406,-0.003695,-0.010125,0.009925,-0.007289,0.000000
14.850000,87.056686,-119.321190,4201.253938,6.511704,-6.951638,115.950575,0.997832,0.064775,-0.005561,-0.010231,0.011635,-0.009844,0.000000
15.300000,89.990399,-122.428105,4252.284180,6.526429,-6.857969,110.860959,0.997634,0.067502,-0.007939,-0.010368,0.012514,-0.010124,0.000000
15.750000,92.930499,-125.494123,4301.037935,6.541400,-6.769346,105.832257,0.997419,0.070317,-0.010068,-0.010487,0.012995,-0.009116,0.000000
16.200000,95.878368,-128.520984,4347.541801,6.560648,-6.684005,100.860794,0.997170,0.073396,-0.012347,-0.010614,0.014741,-0.011054,0.000000
16.650000,98.834960,-131.510461,4391.820621,6.578513,-6.603873,95.942421,0.996874,0.076829,-0.014948,-0.010760,0.015608,-0.010686,0.000000
17.100000,101.796854,-134.466162,4433.897246,6.584996,-6.533523,91.072802,0.996613,0.079885,-0.016261,-0.010812,0.011748,-0.000658,0.000000
17.550000,104.762999,-137.390537,4473.793314,6.600288,-6.463225,86.250839,0.996395,0.082566,-0.016239,-0.010764,0.013509,-0.001495,0.000000
18.000000,107.738131,-140.283157,4511.529651,6.622036,-6.393710,81.473170,0.996065,0.086204,-0.017501,-0.010806,0.018819,-0.008815,0.000000
18.450000,110.721570,-143.146004,4547.125100,6.636150,-6.331353,76.735141,0.995629,0.090659,-0.019632,-0.010907,0.020452,-0.008309,0.000000
18.900000,113.709980,-145.982200,4580.596833,6.645767,-6.274458,72.034170,0.995174,0.095217,-0.021059,-0.010942,0.020597,-0.004303,0.000000
19.350000,116.703310,-148.793222,4611.961168,6.658726,-6.219088,67.368592,0.994677,0.100067,-0.022023,-0.010926,0.023372,-0.004764,0.000000
19.800000,119.703271,-151.579595,4641.233490,6.674531,-6.165192,62.735831,0.994046,0.105817,-0.023562,-0.010947,0.028339,-0.008582,0.000000
20.250000,122.710150,-154.342385,4668.427879,6.688861,-6.114511,58.132846,0.993230,0.112698,-0.025903,-0.011024,0.033320,-0.011219,0.000000
20.700000,125.722805,-157.083198,4693.557130,6.700320,-6.067418,53.557065,0.992226,0.120619,-0.028562,-0.011108,0.037860,-0.011519,0.000000
